id,unique_id,raceid,racetype,racetypeid,ballotorder,candidateid,description,electiondate,fipscode,first,incumbent,initialization_data,is_ballot_measure,last,lastupdated,level,national,officeid,officename,party,polid,polnum,precinctsreporting,precinctsreportingpct,precinctstotal,reportingunitid,reportingunitname,runoff,seatname,seatnum,statename,statepostal,test,uncontested,votecount,votepct,winner
16672-polid-1445-16009,polid-1445,16672,Caucus,E,3,22311,,2016-02-01,19017,Bernie,False,False,,Sanders,2016-02-02T18:05:32Z,county,True,P,President,Dem,1445,18856,13,100.0,13,16009,Bremer,False,,,Iowa,IA,False,False,544,0.453333,False
16672-polid-22603-16009,polid-22603,16672,Caucus,E,2,22312,,2016-02-01,19017,Martin,False,False,,O'Malley,2016-02-02T18:05:32Z,county,True,P,President,Dem,22603,18857,13,100.0,13,16009,Bremer,False,,,Iowa,IA,False,False,16,0.013333,False
16672-polid-100004-16009,polid-100004,16672,Caucus,E,4,22340,,2016-02-01,19017,,False,False,,Uncommitted,2016-02-02T18:05:32Z,county,True,P,President,Dem,100004,16613,13,100.0,13,16009,Bremer,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-100007-16009,polid-100007,16672,Caucus,E,5,22343,,2016-02-01,19017,,False,False,,Other,2016-02-02T18:05:32Z,county,True,P,President,Dem,100007,17474,13,100.0,13,16009,Bremer,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-1746-16010,polid-1746,16672,Caucus,E,1,22310,,2016-02-01,19019,Hillary,False,False,,Clinton,2016-02-02T18:05:32Z,county,True,P,President,Dem,1746,18855,15,100.0,15,16010,Buchanan,False,,,Iowa,IA,False,False,525,0.525,True
16672-polid-1445-16010,polid-1445,16672,Caucus,E,3,22311,,2016-02-01,19019,Bernie,False,False,,Sanders,2016-02-02T18:05:32Z,county,True,P,President,Dem,1445,18856,15,100.0,15,16010,Buchanan,False,,,Iowa,IA,False,False,475,0.475,False
16672-polid-100004-16010,polid-100004,16672,Caucus,E,4,22340,,2016-02-01,19019,,False,False,,Uncommitted,2016-02-02T18:05:32Z,county,True,P,President,Dem,100004,16613,15,100.0,15,16010,Buchanan,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-100007-16010,polid-100007,16672,Caucus,E,5,22343,,2016-02-01,19019,,False,False,,Other,2016-02-02T18:05:32Z,county,True,P,President,Dem,100007,17474,15,100.0,15,16010,Buchanan,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-22603-16010,polid-22603,16672,Caucus,E,2,22312,,2016-02-01,19019,Martin,False,False,,O'Malley,2016-02-02T18:05:32Z,county,True,P,President,Dem,22603,18857,15,100.0,15,16010,Buchanan,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-1746-16011,polid-1746,16672,Caucus,E,1,22310,,2016-02-01,19021,Hillary,False,False,,Clinton,2016-02-02T18:05:32Z,county,True,P,President,Dem,1746,18855,10,100.0,10,16011,Buena Vista,False,,,Iowa,IA,False,False,291,0.48581,True
16672-polid-1445-16011,polid-1445,16672,Caucus,E,3,22311,,2016-02-01,19021,Bernie,False,False,,Sanders,2016-02-02T18:05:32Z,county,True,P,President,Dem,1445,18856,10,100.0,10,16011,Buena Vista,False,,,Iowa,IA,False,False,291,0.48581,False
16672-polid-22603-16011,polid-22603,16672,Caucus,E,2,22312,,2016-02-01,19021,Martin,False,False,,O'Malley,2016-02-02T18:05:32Z,county,True,P,President,Dem,22603,18857,10,100.0,10,16011,Buena Vista,False,,,Iowa,IA,False,False,17,0.028381,False
16672-polid-100004-16011,polid-100004,16672,Caucus,E,4,22340,,2016-02-01,19021,,False,False,,Uncommitted,2016-02-02T18:05:32Z,county,True,P,President,Dem,100004,16613,10,100.0,10,16011,Buena Vista,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-100007-16011,polid-100007,16672,Caucus,E,5,22343,,2016-02-01,19021,,False,False,,Other,2016-02-02T18:05:32Z,county,True,P,President,Dem,100007,17474,10,100.0,10,16011,Buena Vista,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-1746-16012,polid-1746,16672,Caucus,E,1,22310,,2016-02-01,19023,Hillary,False,False,,Clinton,2016-02-02T18:05:32Z,county,True,P,President,Dem,1746,18855,8,100.0,8,16012,Butler,False,,,Iowa,IA,False,False,250,0.416667,True
16672-polid-1445-16012,polid-1445,16672,Caucus,E,3,22311,,2016-02-01,19023,Bernie,False,False,,Sanders,2016-02-02T18:05:32Z,county,True,P,President,Dem,1445,18856,8,100.0,8,16012,Butler,False,,,Iowa,IA,False,False,350,0.583333,False
16672-polid-100004-16012,polid-100004,16672,Caucus,E,4,22340,,2016-02-01,19023,,False,False,,Uncommitted,2016-02-02T18:05:32Z,county,True,P,President,Dem,100004,16613,8,100.0,8,16012,Butler,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-100007-16012,polid-100007,16672,Caucus,E,5,22343,,2016-02-01,19023,,False,False,,Other,2016-02-02T18:05:32Z,county,True,P,President,Dem,100007,17474,8,100.0,8,16012,Butler,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-22603-16012,polid-22603,16672,Caucus,E,2,22312,,2016-02-01,19023,Martin,False,False,,O'Malley,2016-02-02T18:05:32Z,county,True,P,President,Dem,22603,18857,8,100.0,8,16012,Butler,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-1746-16013,polid-1746,16672,Caucus,E,1,22310,,2016-02-01,19025,Hillary,False,False,,Clinton,2016-02-02T18:05:32Z,county,True,P,President,Dem,1746,18855,10,100.0,10,16013,Calhoun,False,,,Iowa,IA,False,False,200,0.5,True
16672-polid-1445-16013,polid-1445,16672,Caucus,E,3,22311,,2016-02-01,19025,Bernie,False,False,,Sanders,2016-02-02T18:05:32Z,county,True,P,President,Dem,1445,18856,10,100.0,10,16013,Calhoun,False,,,Iowa,IA,False,False,200,0.5,False
16672-polid-100004-16013,polid-100004,16672,Caucus,E,4,22340,,2016-02-01,19025,,False,False,,Uncommitted,2016-02-02T18:05:32Z,county,True,P,President,Dem,100004,16613,10,100.0,10,16013,Calhoun,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-100007-16013,polid-100007,16672,Caucus,E,5,22343,,2016-02-01,19025,,False,False,,Other,2016-02-02T18:05:32Z,county,True,P,President,Dem,100007,17474,10,100.0,10,16013,Calhoun,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-22603-16013,polid-22603,16672,Caucus,E,2,22312,,2016-02-01,19025,Martin,False,False,,O'Malley,2016-02-02T18:05:32Z,county,True,P,President,Dem,22603,18857,10,100.0,10,16013,Calhoun,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-1746-16014,polid-1746,16672,Caucus,E,1,22310,,2016-02-01,19027,Hillary,False,False,,Clinton,2016-02-02T18:05:32Z,county,True,P,President,Dem,1746,18855,13,100.0,13,16014,Carroll,False,,,Iowa,IA,False,False,504,0.63,True
16672-polid-1445-16014,polid-1445,16672,Caucus,E,3,22311,,2016-02-01,19027,Bernie,False,False,,Sanders,2016-02-02T18:05:32Z,county,True,P,President,Dem,1445,18856,13,100.0,13,16014,Carroll,False,,,Iowa,IA,False,False,296,0.37,False
16672-polid-100004-16014,polid-100004,16672,Caucus,E,4,22340,,2016-02-01,19027,,False,False,,Uncommitted,2016-02-02T18:05:32Z,county,True,P,President,Dem,100004,16613,13,100.0,13,16014,Carroll,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-100007-16014,polid-100007,16672,Caucus,E,5,22343,,2016-02-01,19027,,False,False,,Other,2016-02-02T18:05:32Z,county,True,P,President,Dem,100007,17474,13,100.0,13,16014,Carroll,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-22603-16014,polid-22603,16672,Caucus,E,2,22312,,2016-02-01,19027,Martin,False,False,,O'Malley,2016-02-02T18:05:32Z,county,True,P,President,Dem,22603,18857,13,100.0,13,16014,Carroll,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-1746-16015,polid-1746,16672,Caucus,E,1,22310,,2016-02-01,19029,Hillary,False,False,,Clinton,2016-02-02T18:05:32Z,county,True,P,President,Dem,1746,18855,13,100.0,13,16015,Cass,False,,,Iowa,IA,False,False,300,0.6,True
16672-polid-1445-16015,polid-1445,16672,Caucus,E,3,22311,,2016-02-01,19029,Bernie,False,False,,Sanders,2016-02-02T18:05:32Z,county,True,P,President,Dem,1445,18856,13,100.0,13,16015,Cass,False,,,Iowa,IA,False,False,190,0.38,False
16672-polid-22603-16015,polid-22603,16672,Caucus,E,2,22312,,2016-02-01,19029,Martin,False,False,,O'Malley,2016-02-02T18:05:32Z,county,True,P,President,Dem,22603,18857,13,100.0,13,16015,Cass,False,,,Iowa,IA,False,False,10,0.02,False
16672-polid-100004-16015,polid-100004,16672,Caucus,E,4,22340,,2016-02-01,19029,,False,False,,Uncommitted,2016-02-02T18:05:32Z,county,True,P,President,Dem,100004,16613,13,100.0,13,16015,Cass,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-100007-16015,polid-100007,16672,Caucus,E,5,22343,,2016-02-01,19029,,False,False,,Other,2016-02-02T18:05:32Z,county,True,P,President,Dem,100007,17474,13,100.0,13,16015,Cass,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-1746-16016,polid-1746,16672,Caucus,E,1,22310,,2016-02-01,19031,Hillary,False,False,,Clinton,2016-02-02T18:05:32Z,county,True,P,President,Dem,1746,18855,12,100.0,12,16016,Cedar,False,,,Iowa,IA,False,False,354,0.443054,True
16672-polid-1445-16016,polid-1445,16672,Caucus,E,3,22311,,2016-02-01,19031,Bernie,False,False,,Sanders,2016-02-02T18:05:32Z,county,True,P,President,Dem,1445,18856,12,100.0,12,16016,Cedar,False,,,Iowa,IA,False,False,445,0.556946,False
16672-polid-100004-16016,polid-100004,16672,Caucus,E,4,22340,,2016-02-01,19031,,False,False,,Uncommitted,2016-02-02T18:05:32Z,county,True,P,President,Dem,100004,16613,12,100.0,12,16016,Cedar,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-100007-16016,polid-100007,16672,Caucus,E,5,22343,,2016-02-01,19031,,False,False,,Other,2016-02-02T18:05:32Z,county,True,P,President,Dem,100007,17474,12,100.0,12,16016,Cedar,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-22603-16016,polid-22603,16672,Caucus,E,2,22312,,2016-02-01,19031,Martin,False,False,,O'Malley,2016-02-02T18:05:32Z,county,True,P,President,Dem,22603,18857,12,100.0,12,16016,Cedar,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-1746-16017,polid-1746,16672,Caucus,E,1,22310,,2016-02-01,19033,Hillary,False,False,,Clinton,2016-02-02T18:05:32Z,county,True,P,President,Dem,1746,18855,26,100.0,26,16017,Cerro Gordo,False,,,Iowa,IA,False,False,1091,0.496135,True
16672-polid-1445-16017,polid-1445,16672,Caucus,E,3,22311,,2016-02-01,19033,Bernie,False,False,,Sanders,2016-02-02T18:05:32Z,county,True,P,President,Dem,1445,18856,26,100.0,26,16017,Cerro Gordo,False,,,Iowa,IA,False,False,1108,0.503865,False
16672-polid-100004-16017,polid-100004,16672,Caucus,E,4,22340,,2016-02-01,19033,,False,False,,Uncommitted,2016-02-02T18:05:32Z,county,True,P,President,Dem,100004,16613,26,100.0,26,16017,Cerro Gordo,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-100007-16017,polid-100007,16672,Caucus,E,5,22343,,2016-02-01,19033,,False,False,,Other,2016-02-02T18:05:32Z,county,True,P,President,Dem,100007,17474,26,100.0,26,16017,Cerro Gordo,False,,,Iowa,IA,False,False,0,0.0,False
